5073393	1970-01-01
4326746	1970-01-01
3934055	1970-01-01
777076	1970-01-01
4630555	1970-01-01
1642633	1970-01-01
2694962	1970-01-01
3942718	1970-01-01
1761471	1970-01-01
3850646	1970-01-01
5211429	1970-01-01
5729999	1970-01-01
553181	1970-01-01
770305	1970-01-01
419194	1970-01-01
3856041	1970-01-01
5592698	1970-01-01
5592770	1970-01-01
3259017	1970-01-01
1188554	1970-01-01
4630533	1970-01-01
4636572	1970-01-01
3935342	1970-01-01
1761807	1970-01-01
5599560	1970-01-01
4330389	1970-01-01
3672004	1970-01-01
1457152	1970-01-01
778192	1970-01-01
2466611	1970-01-01
3666898	1970-01-01
419382	1970-01-01
5739195	1970-01-01
1904801	1970-01-01
109049	1970-01-01
1307963	1970-01-01
1182643	1970-01-01
3020127	1970-01-01
5734173	1970-01-01
416246	1970-01-01
777668	1970-01-01
5336977	1970-01-01
3858251	1970-01-01
109832	1970-01-01
5069736	1970-01-01
105116	1970-01-01
5069515	1970-01-01
3249155	1970-01-01
4935519	1970-01-01
109062	1970-01-01
2684583	1970-01-01
2079049	1970-01-01
3672768	1970-01-01
568028	1970-01-01
4334409	1970-01-01
102622	1970-01-01
3932691	1970-01-01
424318	1970-01-01
94124	1970-01-01
1179957	1970-01-01
3423876	1970-01-01
3933505	1970-01-01
3847141	1970-01-01
2684830	1970-01-01
2082133	1970-01-01
2082132	1970-01-01
102342	1970-01-01
5730007	1970-01-01
5077865	1970-01-01
2684442	1970-01-01
1900661	1970-01-01
5340357	1970-01-01
3940586	1970-01-01
564619	1970-01-01
3255571	1970-01-01
1461737	1970-01-01
3419695	1970-01-01
778175	1970-01-01
418354	1970-01-01
5335635	1970-01-01
1300888	1970-01-01
2345257	1970-01-01
5340704	1970-01-01
95284	1970-01-01
5734804	1970-01-01
3256290	1970-01-01
3420622	1970-01-01
2695748	1970-01-01
5741618	1970-01-01
3853306	1970-01-01
3419230	1970-01-01
3849556	1970-01-01
1178539	1970-01-01
4341919	1970-01-01
5589992	1970-01-01
774164	1970-01-01
107739	1970-01-01
2688603	1970-01-01
559695	1970-01-01
1761745	1970-01-01
4764957	1970-01-01
4631610	1970-01-01
5742462	1970-01-01
422897	1970-01-01
5591635	1970-01-01
2882747	1970-01-01
3850797	1970-01-01
421156	1970-01-01
770522	1970-01-01
4629766	1970-01-01
2463687	1970-01-01
5593969	1970-01-01
4632922	1970-01-01
2464090	1970-01-01
5337007	1970-01-01
3019280	1970-01-01
3254627	1970-01-01
5732379	1970-01-01
99511	1970-01-01
5594892	1970-01-01
3858120	1970-01-01
5342297	1970-01-01
1451799	1970-01-01
557868	1970-01-01
4328672	1970-01-01
5594565	1970-01-01
1461949	1970-01-01
4631114	1970-01-01
415231	1970-01-01
1761136	1970-01-01
1641928	1970-01-01
3262273	1970-01-01
96010	1970-01-01
3014853	1970-01-01
773841	1970-01-01
3261670	1970-01-01
5602484	1970-01-01
2688544	1970-01-01
3018253	1970-01-01
1307314	1970-01-01
4626711	1970-01-01
3424856	1970-01-01
2082131	1970-01-01
420248	1970-01-01
1306646	1970-01-01
107785	1970-01-01
1766582	1970-01-01
1177294	1970-01-01
4764402	1970-01-01
4326616	1970-01-01
5336925	1970-01-01
2344637	1970-01-01
1899908	1970-01-01
4635199	1970-01-01
1457140	1970-01-01
1307920	1970-01-01
5082615	1970-01-01
5594298	1970-01-01
109150	1970-01-01
1189648	1970-01-01
1186391	1970-01-01
101995	1970-01-01
5590822	1970-01-01
3251591	1970-01-01
5335500	1970-01-01
3247589	1970-01-01
4626416	1970-01-01
4765365	1970-01-01
4765148	1970-01-01
2344371	1970-01-01
5209573	1970-01-01
5475743	1970-01-01
559355	1970-01-01
5075138	1970-01-01
107064	1970-01-01
4941886	1970-01-01
3431223	1970-01-01
2684369	1970-01-01
2683319	1970-01-01
4942581	1970-01-01
565541	1970-01-01
5472441	1970-01-01
3853492	1970-01-01
2091087	1970-01-01
428082	1970-01-01
1894676	1970-01-01
2693936	1970-01-01
1769498	1970-01-01
3663398	1970-01-01
2344547	1970-01-01
3420215	1970-01-01
94359	1970-01-01
5734732	1970-01-01
3850110	1970-01-01
2684705	1970-01-01
3935971	1970-01-01
781645	1970-01-01
5470145	1970-01-01
106572	1970-01-01
1189138	1970-01-01
5594707	1970-01-01
4942086	1970-01-01
562200	1970-01-01
3666953	1970-01-01
560897	1970-01-01
4326804	1970-01-01
3422502	1970-01-01
3022745	1970-01-01
4774342	1970-01-01
5072309	1970-01-01
769589	1970-01-01
1453193	1970-01-01
3856621	1970-01-01
99169	1970-01-01
2686267	1970-01-01
2697189	1970-01-01
1308130	1970-01-01
1761539	1970-01-01
5594735	1970-01-01
430250	1970-01-01
5590700	1970-01-01
1897581	1970-01-01
5744440	1970-01-01
553633	1970-01-01
5734504	1970-01-01
4943667	1970-01-01
4634993	1970-01-01
5469214	1970-01-01
4325188	1970-01-01
3668000	1970-01-01
2688075	1970-01-01
1455526	1970-01-01
1177778	1970-01-01
1461902	1970-01-01
3437436	1970-01-01
415474	1970-01-01
5601736	1970-01-01
4334836	1970-01-01
107904	1970-01-01
4628788	1970-01-01
1461248	1970-01-01
1296822	1970-01-01
92284	1970-01-01
3678146	1970-01-01
428605	1970-01-01
1307923	1970-01-01
5071510	1970-01-01
2463688	1970-01-01
1175605	1970-01-01
3419110	1970-01-01
2333525	1970-01-01
414705	1970-01-01
5606471	1970-01-01
2339646	1970-01-01
1761963	1970-01-01
5594351	1970-01-01
5351147	1970-01-01
4948784	1970-01-01
4329991	1970-01-01
5599406	1970-01-01
2696957	1970-01-01
3847927	1970-01-01
3850757	1970-01-01
427330	1970-01-01
3938208	1970-01-01
555210	1970-01-01
5466901	1970-01-01
421684	1970-01-01
4762428	1970-01-01
2091745	1970-01-01
423125	1970-01-01
782531	1970-01-01
3671051	1970-01-01
1307504	1970-01-01
1186353	1970-01-01
5213272	1970-01-01
778364	1970-01-01
5603516	1970-01-01
1636138	1970-01-01
106903	1970-01-01
5595668	1970-01-01
5728891	1970-01-01
2083917	1970-01-01
5740579	1970-01-01
4324144	1970-01-01
1899749	1970-01-01
3853635	1970-01-01
